BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate
A6WL,PBF ENERGY LIMITED,1 SYLVAN WAY FLOOR 2    RANDOLPH NJ US 07869,973-455-7500,ACTIVE,2014-04-22,,,
A6WM,BOANN VENTURES CORP.,525 11 AVE SW SUITE 100    CALGARY AB CA T2R 0C9,587-353-2044,ACTIVE,2012-06-08,,,
A6WN,OSUM PRODUCTION CORP.,255 5 AVE SW SUITE 1900    CALGARY AB CA T2P 3G6,403-283-3224,ACTIVE,2014-06-04,,,
A6WP,TIRE OIL & GAS LTD.,3307 48 AVE SE    CALGARY AB CA T2B 2Y8,403-273-0202 Ext 812,ACTIVE,2011-01-28,,,
A6WR,SINTANA ENERGY INC.,200 WESTOVER DR SW    CALGARY AB CA T3C 2S6,416-361-0737,ACTIVE,2017-07-02,,,
A6WT,0890411 BC LTD.,1140 27 AVE S    CRESTON BC CA V0B 1G1,250-428-8768,NON REGISTERED,1900-01-01,,,
A6WW,LITTLE EAGLE RESOURCES INC.,55 DISCOVERY RIDGE CRES SW    CALGARY AB CA T3H 4R4,403-389-8222,ACTIVE,2008-09-05,,,
A6WX,OILBERTA OIL & GAS CORP.,294 DISCOVERY RIDGE BLVD SW    CALGARY AB CA T3H 5L8,403-401-7717,ACTIVE,2011-03-02,,,
A6WY,TRIREX ENERGY ULC,SUN LIFE PLAZA WEST TOWER 144 4 AVE SW SUITE 1600   CALGARY AB CA T2P 3N4,403-770-9762,ACTIVE,2017-04-02,,,
A6WZ,BENGA MINING LIMITED,PO BOX 660 12331 20 AVE   BLAIRMORE AB CA T0K 0E0,403-753-5160,ACTIVE,2012-11-14,,,
A6X0,1773710 ALBERTA LTD.,406-917 85 ST SW SUITE 244    CALGARY AB CA T3H 5Z9,780-422-1395,ACTIVE,2013-09-20,,,
A6X1,JUPITER RESOURCES INC.,585 8 AVE SW SUITE 1100    CALGARY AB CA T2P 1G1,403-200-0214,ACTIVE,2014-06-11,,,
A6X2,AMT ENVIRONMENTAL SERVICES,33 2 ST NW    MEDICINE HAT AB CA T1A 6J2,403-502-0742,NON REGISTERED,1900-01-01,,,
A6X3,1822916 ALBERTA LTD.,14 MCKAY BLVD    BLACKFALDS AB CA T4M 0M5,780-552-3907,ACTIVE,2016-09-07,,,
A6X4,FRIL CONSULTING INC.,105-150 CROWFOOT CRES NW SUITE 605    CALGARY AB CA T3G 3T2,587-885-1114,ACTIVE,2013-01-17,,,
A6X5,CONOCOPHILLIPS CANADA E&P ULC,401 9 AVE SW PO BOX 130 STN M   CALGARY AB CA T2P 2H7,402-233-4000,ACTIVE,2014-01-28,,,
A6X6,"CANADIAN ENTERPRISE GAS PRODUCTS, LTD.",900 6 AVE SW SUITE 300    CALGARY AB CA T2P 3K2,403-266-7487,ACTIVE,1975-01-08,,,
A6X7,"WORLD FUEL SERVICES CANADA, ULC",9800 NW 41 ST SUITE 400    MIAMI FL US 33178,281-556-2520,ACTIVE,2013-05-08,,,
A6X8,1671947 ALBERTA LTD.,PO BOX 826    TROCHU AB CA T0M 2C0,587-876-3492,ACTIVE,2012-04-16,,,
A6X9,PACIFIC OIL COMPANY,1401 1 ST SE SUITE 201    CALGARY AB CA T2G 2J3,403-660-1069,ACTIVE,2014-06-19,,,
A6XA,CASTLETON COMMODITIES TRADING GP LLC,2200 ATLANTIC ST SUITE 800    STAMFORD CT US 06902-6834,203-564-8100,ACTIVE,2014-06-30,,,
A6XB,ENMAX CAVALIER GP INC.,141 50 AVE SE    CALGARY AB CA T2G 4S7,403-514-2922,ACTIVE,2014-05-08,,,
A6XC,1485176 ALBERTA LTD.,HARLENE BENKOVSKY 6 HENDERSON RD NE SS1   LANGDON AB CA T0J 1X1,403-936-5181,DISSOLUTION/DISSOLVED,2017-07-26,,,
A6XD,DK CANADA ENERGY ULC,715 5 AVE SW SUITE 630    CALGARY AB CA T2P 2X6,587-353-7637,ACTIVE,2013-07-23,,,
A6XE,VIKING DRILLING LTD.,178 DONNELLY CRES    RED DEER AB CA T4R 2L6,403-358-9343,ACTIVE,2014-06-06,,,
A6XF,CITADEL DRILLING LTD.,736 8 AVE SW SUITE 610    CALGARY AB CA T2P 1H4,403-719-7724,ACTIVE,2013-01-22,,,
A6XG,ELEMENT ENGINEERING LTD.,43 WEST BOOTHBY CRES    COCHRANE AB CA T4C 1L9,403-860-6924,STRUCK,2018-08-02,,,
A6XH,HARSCO CANADA CORPORATION SOCIETE HARSCO CANADA,1959 UPPER WATER ST SUITE 900    HALIFAX NS CA B3J 3N2,905-977-3607,ACTIVE,2011-06-15,,,
A6XJ,LEUCROTTA EXPLORATION INC.,639 5 AVE SW SUITE 700    CALGARY AB CA T2P 0M9,403-538-3737,ACTIVE,2014-06-10,,,
A6XK,ROLYMPUS (U.S.) COMMODITIES GROUP LLC,2000 WESTCHESTER AVE    PURCHASE NY US 10577,914-225-1418,NON REGISTERED,1900-01-01,,,
A6XL,DEEP BASIN PARTNERSHIP,700 2 ST SW SUITE 1500    CALGARY AB CA T2P 2W1,403-268-3173,NON REGISTERED,1900-01-01,,,
A6XM,WESTSIDE ENERGY CORP.,1101 VALOIS AVE SW    CALGARY AB CA T2T 1L4,403-470-7103,ACTIVE,2008-02-29,,,
A6XN,1819427 ALBERTA LTD. ,3016 19 ST NE SUITE 220    CALGARY AB CA T2E 6Y9,780-422-1395,ACTIVE,2014-05-01,,,
A6XP,BOREALIS PROJECTS LTD.,855 8 AVE SW SUITE 700    CALGARY AB CA T2P 3P1,403-974-7820,ACTIVE,2014-05-14,,,
A6XR,ENMAX BALZAC GP INC.,141 50 AVE SE    CALGARY AB CA T2G 4S7,403-514-1315,ACTIVE,2014-05-08,,,
A6XT,GRAND FOUNDATION ENERGY INC.,27 HIDDEN RANCH RD NW    CALGARY AB CA T3A 5S5,587-888-0898,ACTIVE,2014-06-16,,,
A6XW,SHREENATH ENERGY CORP.,81 CRESTRIDGE VIEW SW    CALGARY AB CA T3B 1G8,403-585-2030,ACTIVE,2006-06-19,,,
A6XX,MAY 2014 CPG AMALCO LTD.,585 8 AVE SW SUITE 2000    CALGARY AB CA T2P 1G1,780-422-1395,DISSOLUTION/DISSOLVED,2017-12-31,,,
A6XY,HONEYWELL LIMITED HONEYWELL LIMITEE,906 12 AVE SW SUITE 700    CALGARY AB CA T2R 1K7,780-422-1395,ACTIVE,1996-03-01,,,
A6XZ,TRIBAL NORTH FLUID DISPOSAL SERVICES CORP.,308 4 AVE SW SUITE 1401    CALGARY AB CA T2P 0H7,403-930-0900,ACTIVE,2014-07-25,,,
A6Y0,RESERVE ROYALTY GP #2 LTD.,505 3 ST SW SUITE 1800    CALGARY AB CA T2P 3E6,587-349-1055,ACTIVE,2011-03-31,,,
A6Y1,DRAGONFOUNTAIN LTD.,407 2 ST SW SUITE 1130    CALGARY AB CA T2P 2Y3,403-973-2700,ACTIVE,2014-06-12,,,
A6Y2,COR4 OIL CORP.,308 4 AVE SW SUITE 2621    CALGARY AB CA T2P 0H7,587-794-4301,ACTIVE,2013-10-22,,,
A6Y3,TERADO GAS STORAGE CORP.,322 11 AVE SW SUITE 501    CALGARY AB CA T2R 0C5,403-612-1428,ACTIVE,2012-12-19,,,
A6Y4,"FLINTLOCK ENERGY, INC.",1550 LARIMER ST SUITE 144    DENVER CO US 80202,780-390-8987,ACTIVE,2014-03-04,,,
A6Y5,RICHBAR ENERGY LTD.,1811 4 ST SW SUITE 104    CALGARY AB CA T2S 1W2,403-660-3942,STRUCK,2017-02-02,,,
A6Y6,"ARCADIS U.S., INC.",630 PLAZA DR SUITE 100    HIGHLANDS RANCH CO US 80129-2379,720-344-3500,ACTIVE,2015-09-02,,,
A6Y7,ALLIANCE ENERGY SERVICES LLC,318 ARMOUR RD    N KANSAS CITY MO US 64116-3506,816-581-2613,NON REGISTERED,1900-01-01,,,
A6Y8,BASHAW OIL CORP.,635 8 AVE SW SUITE 2400    CALGARY AB CA T2P 3M3,403-265-3503,AMALGAMATED,2018-08-01,A5RA,CLEARVIEW RESOURCES LTD.,2018-11-30
A6Y9,"CITYSERVICEVALCON, LLC",PO BOX 1 640 W MONTANA ST   KALISPELL MT US 59903-0001,406-755-4321,START,2018-08-02,,,
A6YA,DELTASTREAM ENERGY CORPORATION,633 6 AVE SW SUITE 1950    CALGARY AB CA T2P 2Y5,587-955-9950,ACTIVE,2013-11-12,,,
A6YB,"PARKLAND BEACH, SUMMER VILLAGE OF",PO BOX 130    RIMBEY AB CA T0C 2J0,403-843-2055,NON REGISTERED,1900-01-01,,,
A6YC,SHIELD ENERGY LTD.,840 7 AVE SW SUITE 1260    CALGARY AB CA T2P 3G2,403-244-6680,ACTIVE,2013-04-15,,,
A6YD,WDS SOLUTIONS INC.,999 8 ST SW SUITE 260    CALGARY AB CA T2R 1J5,587-316-2314,ACTIVE,2011-11-23,,,
A6YE,TOYOTA TSUSHO WHEATLAND INC.,888 3 ST SW SUITE 4280    CALGARY AB CA T2P 5C5,403-264-7562,ACTIVE,2012-04-12,,,
A6YF,LEGACY CEC LTD.,585 8 AVE SW SUITE 2000    CALGARY AB CA T2P 1G1,403-693-0020,DISSOLUTION/DISSOLVED,2017-12-31,,,
A6YG,HURON RESOURCES CORP.,255 5 AVE SW SUITE 2320    CALGARY AB CA T2P 3G6,587-293-3333,ACTIVE,2013-11-29,,,
A6YH,TRACE ASSOCIATES INC.,385 CARLETON DR     ST ALBERT AB CA T8N 7L1,780-458-7787,ACTIVE,2006-03-23,,,
A6YJ,VADO PETROLEUM LTD.,157 ST JOHN ST SUITE 145    LONDON United Kingdom GB EC1V 4RU,8450558257,NON REGISTERED,1900-01-01,,,
A6YK,AXIMUS ENGINEERING LTD.,734 7 AVE SW SUITE 540    CALGARY AB CA T2P 3P8,403-452-9974,ACTIVE,2014-01-30,,,
A6YL,VITAL ENERGY INC.,940 6 AVE SW SUITE 888    CALGARY AB CA T2P 3T1,403-699-9668,ACTIVE,2014-06-18,,,
A6YM,CANADIAN ENGINEERING & INSPECTION LTD.,9637 45 AVE NW SUITE 201    EDMONTON AB CA T6E 5Z8,403-608-6776,ACTIVE,2011-08-06,,,
A6YN,C GROUP ENERGY INC.,840 6 AVE SW SUITE 540    CALGARY AB CA T2P 3E5,403-984-3552,ACTIVE,2012-06-18,,,
A6YP,JUST KNOCK CONSULTING LTD.,32 ERIN MEADOWS CRT SE    CALGARY AB CA T2B 2Z8,403-510-8376,ACTIVE,2017-12-22,,,
A6YR,EOG CANADA OIL & GAS ULC.,700 9 AVE SW SUITE 1300    CALGARY AB CA T2P 3V4,403-297-9100,AMALGAMATED,2015-01-01,A71P,EOG CANADA OIL & GAS INC.,2015-04-30
A6YT,OEL PROJECTS LTD.,2711 39 AVE NE    CALGARY AB CA T1Y 4T8,403-261-4991,ACTIVE,2007-02-13,,,
A6YW,KIDRON VALLEY ENERGY CORPORATION,140 4 AVE SW SUITE 900    CALGARY AB CA T2P 3N3,403-290-1900 Ext 231,ACTIVE,2014-02-06,,,
A6YX,TRILAND ENERGY INC. ,396 11 AVE SW SUITE 1210    CALGARY  AB CA T2R 0C5,403-266-0010,ACTIVE,2008-03-14,,,
A6YY,COLUMBIA ENERGY INC.,3703 UNITY PL NW    CALGARY AB CA T2N 4G4,403-262-0008,AMALGAMATED,2004-07-14,A702,KINWEST 2008 ENERGY INC.,2014-11-30
A6YZ,MURPHY SEAN,58 TUSCANY RESERVE GATE NW    CALGARY AB CA T3L 0A6,587-435-2646,NON REGISTERED,1900-01-01,,,
A700,FROSTFIRE ENERGY INC.,144 4 AVE SW SUITE 1060    CALGARY AB CA T2P 3N4,403-402-2495,STRUCK,2015-10-02,,,
A701,1205634 ALBERTA LTD.,39015 HWY 2A SUITE 215    RED DEER COUNTY AB CA T4S 2A3,403-597-0116,ACTIVE,2005-11-21,,,
A702,KINWEST 2008 ENERGY INC.,615 3 AVE SW SUITE 300    CALGARY AB CA T2P 0G6,403-262-0008,STRUCK,2018-01-02,,,
A703,FIELD UPGRADING LIMITED,1100 1 SE SUITE 201    CALGARY AB CA T2G 1B1,403-802-3605,AMALGAMATED,2012-10-04,A7W9,ENLIGHTEN INNOVATIONS INC.,2018-04-30
A704,MOSAIC INCORPORATED,PO BOX 70062 RPO CREEKSIDE    AIRDRIE AB CA T4B 0V9,403-620-8963,ACTIVE,2013-09-18,,,
A705,KMSC LAW LLP,10514 67 AVE  SUITE 401    GRANDE PRAIRIE AB CA T8W 0K8,780-532-7771,ACTIVE,2001-03-20,,,
A706,TRIDENT EXPLORATION CORP.,888 3 ST SW  SUITE 3100    CALGARY AB CA T2P 5C5,403-770-0333,ACTIVE,2002-04-15,,,
A707,XS ENERGY LTD.,707 7 AVE SW SUITE 820    CALGARY AB CA T2P 0Z3,403-561-4142,ACTIVE,2012-03-22,,,
A708,ARGO SALES INC.,717 7 AVE SW SUITE 1300    CALGARY AB CA T2P 0Z3,403-265-6633,ACTIVE,2014-10-02,,,
A709,PRO-PIPE SERVICE & SALES LTD.,1507 7 ST PO BOX 1101   NISKU AB CA T9E 8A8,780-979-0599,ACTIVE,1998-02-26,,,
A70A,GEN7 ENVIRONMENTAL SOLUTIONS LTD. ,PO BOX 6147    DRAYTON VALLEY AB CA T7A 1R6,780-542-3676,ACTIVE,2012-03-09,,,
A70B,PETRO NICHE TECHNOLOGY LTD.,1228 13 AVE SW UNIT 401    CALGARY AB CA T3C 0T1,403-923-8086,ACTIVE,2014-08-05,,,
A70C,"SPARK ENERGY GAS, LLC",2105 CITYWEST BLVD SUITE 100    HOUSTON TX US 77042,832-200-3792,ACTIVE,2014-10-06,,,
A70D,1069416 ALBERTA LTD.,14 BURNT VALLEY AVE SUITE 210    RED DEER AB CA T4P 0M5,403-887-1200,ACTIVE,2003-10-16,,,
A70E,1688901 ALBERTA LTD.,13 KINGSFORD CRES    ST ALBERT AB CA T8N 7J1,780-812-6075,ACTIVE,2012-07-11,,,
A70F,IPS OPTIMIZATION ULC,"HILLEGONDS, JENNIFER 1001 LOUISIANA ST SUITE 2900   HOUSTON TX US 77007",780-422-1395,DISSOLUTION/DISSOLVED,2015-12-15,,,
A70G,WHITE OWL ENERGY SERVICES INC.,1122 4 ST SW SUITE 1150    CALGARY AB CA T2R 1M1,403-457-5456,ACTIVE,2013-09-26,,,
A70H,MERK PIPELINE INTEGRITY LTD.,PO BOX 1040    CHARLIE LAKE BC CA V0C 1H0,250-261-8877,NON REGISTERED,1900-01-01,,,
A70J,SCCC PETROLEUM CORPORATION,555 4 AVE SW  SUITE 1520    CALGARY AB CA T2P 3E7,403-398-5397,ACTIVE,2017-12-02,,,
A70K,GL PETROLEUM CORPORATION,5047 TRELLE DR NE    CALGARY AB CA T2K 3T9,587-891-8268,ACTIVE,2012-07-05,,,
A70L,SPROTT ENERGY HOLDCO LTD.,707 7 AVE SW SUITE 1200    CALGARY AB CA T2P 3H6,403-444-1099 Ext 210,ACTIVE,2003-01-16,,,
A70M,QUINN DRILLING INC.,JOHNSTON MING MANNING LLP 4943 50 ST 3RD & 4TH FLR   RED DEER AB CA T4N 1Y1,403-343-6236,DISSOLUTION/DISSOLVED,2017-02-17,,,
A70N,MERCURIA COMMODITIES CANADA CORPORATION,326 11 AVE SW SUITE 600.    CALGARY AB CA T2R 0C5,403-532-2009,ACTIVE,2014-10-23,,,
A70P,JACOBS CANADA INC.,205 QUARRY PARK BLVD SE    CALGARY AB CA T2C 3E7,403-692-8499,ACTIVE,2002-02-01,,,
A70R,FENWAY EXPLORATION LTD.,BOX 401 111 5 AVE SW SUITE 100   CALGARY AB CA T2P 3Y6,403-862-7835,ACTIVE,2005-08-25,,,
A70T,DENISON AB HOLDINGS CORP.,40 UNIVERSITY AVE SUITE 1100    TORONTO ON CA M5J 1T1,416-979-1991,ACTIVE,2014-06-25,,,
A70W,EAGLE ENERGY CANADA INC.,500 4 AVE SW SUITE 2710    CALGARY AB CA T2P 2V6,403-531-1575,AMALGAMATED,2016-01-27,A7B2,1944089 ALBERTA LTD.,2016-04-30
A70X,BIG EARL RESOURCES LTD.,BOX 407 370-5222 130 AVE SE   CALGARY AB CA T2Z 0G4,403-269-6911 Ext 226,ACTIVE,2006-01-09,,,
A70Y,FEISA RESOURCES CANADA LTD.,6947 EDGEMONT DR NW    CALGARY AB CA T3A 2H9,403-708-1851,ACTIVE,2013-05-08,,,
A70Z,OAK RESOURCES LTD.,2280 39 AVE NE SUITE 13    CALGARY AB CA T2E 6P7,403-708-1851,ACTIVE,2014-09-30,,,
A710,1731856 ALBERTA LTD.,316 AVOCET AVE    DAVIS CA US 95616,530-848-9047,ACTIVE,2013-02-22,,,
A711,"ZONTON (CANADA) ENERGY TECHNOLOGY CO., LTD.",125 9 AVE SE SUITE 2300    CALGARY AB CA T2G 0P6,403-776-8664,ACTIVE,2014-07-15,,,
A712,S.A.W. ENGINEERING LTD.,999 8 ST SW SUITE 275    CALGARY AB CA T2R 1J5,403-561-8662,ACTIVE,1997-06-19,,,
A713,ONECORE RESOURCES LTD.,46 AUBURN SOUND LANDING SE    CALGARY AB CA T3M 0C9,403-271-2419,ACTIVE,2006-02-27,,,
A714,CAPITALENERGY CORPORATION,140 4 AVE SW SUITE 2600    CALGARY AB CA T2P 3N3,403-984-1798,ACTIVE,2013-10-08,,,
A715,"CMC RESEARCH INSTITUTES, INC.",3535 RESEARCH RD NW    CALGARY AB CA T2L 2K8,403-210-9784,ACTIVE,2014-11-26,,,
A716,CARBON DEVELOPMENT CORPORATION,PO BOX 8263 STN A    ST JOHN'S NL CA A1B 3N4,709-579-8290,ACTIVE,2007-07-26,,,
A717,WESTERN LION RESOURCES LTD.,251 MIDPARK BLVD SE SUITE 200    CALGARY AB CA T2X 1S3,587-349-4500,STRUCK,2017-05-02,,,
A718,KUFPEC CANADA INC.,440 2 AVE SW SUITE 700    CALGARY AB CA T2P 5E9,403-889-7993,ACTIVE,2012-06-25,,,
A719,MOJEK RESOURCES INC.,736 6 AVE SW SUITE 950    CALGARY AB CA T2P 3T7,403-616-3690,ACTIVE,2014-09-24,,,
A71A,ANDERSON ENERGY INC.,555 4 AVE SW SUITE 1000    CALGARY AB CA T2P 3E7,403-262-6307,AMALGAMATED,2016-11-07,A6JK,INPLAY OIL CORP.,2017-02-28
A71B,CANBAC HOLDINGS LTD.,3205 CARLETON ST SW     CALGARY AB CA T2T 3L5,780-422-1395,ACTIVE,2007-06-14,,,
A71C,BEMA ENTERPRISES LTD.,3031 UNDERHILL DR NW    CALGARY AB CA T2N 4E4,403-920-2095,ACTIVE,2001-08-28,,,
A71D,LTS RESOURCES PARTNERSHIP,525 8 AVE SW SUITE 2800    CALGARY AB CA T2P 1G1,403-775-0733,DISSOLUTION/DISSOLVED,2016-12-28,,,
A71E,GALES PHILLIP,155 CUMBERLAND ST APT 1202    TORONTO ON CA M5R 1A2,647-963-0400,NON REGISTERED,1900-01-01,,,
A71F,DIRTY OIL LTD.,PO BOX 361    FORT ASSINIBOINE AB CA T0G 1A0,780-305-6244,ACTIVE,2015-01-06,,,
A71G,KICKING HORSE ENERGY INC.,850 2 ST SW  SUITE 400    CALGARY AB CA T2P 0R8,403-234-8663,AMALGAMATED,2016-01-01,A2DE,ORLEN UPSTREAM CANADA LTD.,2016-04-30
A71H,IMEC CORPORATION,144 4 AVE SW SUITE 1600    CALGARY AB CA T2P 3N4,403-874-0570,ACTIVE,2016-05-02,,,
A71J,CANADIAN ENERGY SERVICES INC.,700 4 AVE SW SUITE 1400    CALGARY AB CA T2P 3J4,403-269-2800,ACTIVE,2005-12-09,,,
A71K,AXIOM OIL AND GAS INC.,PO BOX 1235 STATION M   CALGARY AB CA T2P 2L2,403-816-6611,ACTIVE,2014-03-26,,,
A71L,PELE ENERGY INC.,209 8 AVE SW  SUITE 600    CALGARY AB CA T2P 1B8,780-422-1395,ACTIVE,2012-01-30,,,
A71M,CNOOC CANADA ENERGY LTD.,801 7 AVE SW    CALGARY AB CA T2P 3P7,403-699-4000,ACTIVE,2014-12-10,,,
A71N,QUALITY ENERGY SERVICES CORPORATION,4723 201 ST NW    EDMONTON AB CA T6M 2X7,780-729-5395,STRUCK,2017-05-02,,,
A71P,EOG CANADA OIL & GAS INC.,700 9 AVE SW SUITE 1300    CALGARY AB CA T2P 3V4,403-297-9100,ACTIVE,2015-01-01,,,
A71R,RANGE ROYALTY MANAGEMENT LTD.,PO BOX 780 STN M    CALGARY AB CA T2P 2J3,403-974-6820,AMALGAMATED,2014-12-19,A6TR,PRAIRIESKY ROYALTY LTD.,2014-12-31
A71T,SWAT PROJECTS LTD.,350 7 AVE SW SUITE 2900    CALGARY AB CA T2P 3N9,403-538-6232,ACTIVE,2014-08-26,,,
A71W,WESTRIVER PROJECTS CORP.,"PERRY, CHARLIE 1023 LAKE CHRISTINA WAY SE   CALGARY AB CA T2J 2R4",403-648-0051,DISSOLUTION/DISSOLVED,2018-09-06,,,
A71X,RIFLE SHOT OIL CORP.,555 4 AVE SW SUITE 900    CALGARY AB CA T2P 3E7,587-233-7735,ACTIVE,2014-10-20,,,
A71Y,NEWPARK CANADA INC.,635 6 AVE SW SUITE 300    CALGARY AB CA T2P 0T5,403-266-7383,ACTIVE,1999-01-01,,,
A71Z,1166919 ALBERTA INC.,PO BOX 20027 RPO MOUNTVIEW    RED DEER AB CA T4N 6X5,403-505-6474,ACTIVE,2005-04-26,,,
A720,CORLAC RESOURCES LTD.,837 2 AVE SW UNIT 1401    CALGARY AB CA T2P 0E6,780-875-8802,ACTIVE,2009-12-31,,,
A721,SPARK ENERGY CANADA CORP.,1315 NORTH SERVICE RD E SUITE 300    OAKVILLE ON CA L6H 1A7,905-849-3063,NON REGISTERED,1900-01-01,,,
A722,KM CANADA EDMONTON SOUTH RAIL TERMINAL LIMITED PARTNERSHIP,1755 RAILWAY ST NW    EDMONTON AB CA T6P 1X3,780-400-6020,ACTIVE,2013-12-23,,,
A723,RJ OIL INC.,53016 HWY 60 SUITE 802    ACHESON AB CA T7X 5A7,780-960-1223,AMALGAMATED,2018-08-01,A80E,RJ ENTERPRISES INC.,2018-11-30
A724,OILFIELD COMPLETION SUPPORT LTD.,315 OAKFERN CRES SW    CALGARY AB CA T2V 4T3,403-860-6197,ACTIVE,1990-03-05,,,
A725,INNES OILFIELD SERVICES LTD.,PO BOX 501    DAYSLAND AB CA T0B 1A0,780-608-0664,ACTIVE,2005-02-07,,,
A726,DELOITTE LLP,850 2 ST SW SUITE 700    CALGARY AB CA T2P 0R8,403-930-3600,ACTIVE,2005-02-10,,,
A727,SIFTON PETROLEUM INC.,700 4 AVE SW SUITE 1100    CALGARY AB CA T2P 3J4,403-262-0575,ACTIVE,2014-08-21,,,
A728,Q'MAX SOLUTIONS INC.,407 2 ST SW SUITE 1700    CALGARY AB CA T2P 2Y3,780-830-2516,ACTIVE,2014-06-06,,,
A729,BOWRON ENVIRONMENTAL GROUP LTD.,808 4 AVE SW  SUITE 200    CALGARY AB CA T2P 3E8,403-693-0081,ACTIVE,2014-11-12,,,
A72A,QUINN PUMPS CANADA LTD.,4080 77 ST    RED DEER AB CA T4P 3P7,403-347-1128,ACTIVE,2011-11-09,,,
A72B,HOWARD JEFF,906 12 AVE SW SUITE 730    CALGARY AB CA T2R 1K7,403-455-5773,NON REGISTERED,1900-01-01,,,
A72C,JHTJ GROUP LTD.,627 WILDERNESS DR SE    CALGARY AB CA T2J 1Z4,403-973-5000,ACTIVE,2011-10-31,,,
A72D,"LAUREN ENGINEERS & CONSTRUCTORS, ULC",736 6 AVE SW SUITE 700    CALGARY AB CA T2P 3T7,403-237-7160,ACTIVE,2014-01-01,,,
A72E,COLONIAL ENERGY CAPITAL I INC.,209 8 AVE SW SUITE 600    CALGARY AB CA T2P 1B8,403-630-5283,ACTIVE,2018-02-09,,,
A72F,INTER PIPELINE PROPYLENE LTD.,215 2 ST SW  SUITE 3200    CALGARY AB CA T2P 1M4,403-444-4500,ACTIVE,2013-12-22,,,
A72H,1232441 ALBERTA LTD.,55306 RGE RD 231    STURGEON COUNTY AB CA T8L 5B7,780-220-4300,ACTIVE,2006-03-30,,,
A72J,VIRGINIA HILLS OIL CORP.,BOW VALLEY SQUARE IV 250 6 AVE SW SUITE 1110   CALGARY AB CA T2P 3H7,403-817-2550,STRUCK,2018-05-02,,,
A72K,APPLIED AQUATIC RESEARCH LTD.,1929 10 AVE SW    CALGARY AB CA T3C 0K3,403-294-0488,ACTIVE,1996-02-08,,,
A72L,1864094 ALBERTA LTD.,3316 RIDEAU PLACE SW SUITE 706    CALGARY AB CA T2S 1Z4,403-470-7771,ACTIVE,2015-01-01,,,
A72M,SAVILLE WATER WELL DRILLING LTD.,PO BOX 636    VALLEYVIEW AB CA T0H 3N0,780-524-2577,ACTIVE,2015-02-01,,,
A72N,ELKHORN PETROLEUMS LTD.,521 3 AVE SW SUITE 1500    CALGARY AB CA T2P 3T3,403-264-8854,ACTIVE,1963-10-29,,,
A72P,SILVER HILL RESOURCES LTD.,396 11 AVE SW SUITE 810    CALGARY AB CA T2R 0C5,780-422-1395,ACTIVE,2018-08-01,,,
A72R,SHS HOLDINGS LTD.,13 SWIFT CREEK GREEN    CALGARY AB CA T3Z 0B6,403-630-2300,ACTIVE,2015-02-23,,,
A72T,CALGARY ENERGY CENTRE NO. 2 INC.,141 50 AVE SE    CALGARY  AB CA T2G 4S7,780-422-1395,ACTIVE,2008-09-09,,,
A72W,ILF CONSULTANTS INC.,833 4 AVE SW SUITE 600    CALGARY AB CA T2P 3T5,587-288-2600,ACTIVE,2012-10-18,,,
A72X,OUTLIER RESOURCES LTD.,308 4 AVE SW  SUITE 3000    CALGARY AB CA T2P 0H7,403-930-3475,ACTIVE,2015-01-01,,,
A72Y,LLOYD VENTURE I INC. ,400 ACADIA DR SE    CALGARY AB CA T2J 0A8,780-422-1395,ACTIVE,2006-08-02,,,
A72Z,NORTHRIDGE PROJECTS INC.,635 8 AVE SW SUITE 1700    CALGARY AB CA T2P 3M3,587-794-3331,ACTIVE,2017-04-02,,,
A730,KANATA ENERGY GROUP LTD.,112 4 AVE SW SUITE 1900    CALGARY AB CA T2P 0H3,587-774-7000,ACTIVE,2012-12-14,,,
A731,SHAWCOR LTD. SHAWCOR LTEE,25 BETHRIDGE ROAD    TORONTO ON CA M9W 1M7,416-743-7111,ACTIVE,2015-01-09,,,
A732,CORINTHIAN OIL CORP.,250 6 AVE SW SUITE 1110    CALGARY AB CA T2P 3H7,403-930-4200,ACTIVE,2014-09-22,,,
A733,TURNSTONE ENERGY INC.,215 9 AVE SW SUITE 400    CALGARY AB CA T2P 1K3,403-974-6833,ACTIVE,2014-10-10,,,
A734,VERESEN MIDSTREAM GENERAL PARTNER INC.,222 3 AVE SW SUITE 900    CALGARY AB CA T2P 0B4,403-296-0140,ACTIVE,2014-12-22,,,
A735,PMECO HOLDINGS 1 LTD.,10830 JASPER AVE SUITE 1100    EDMONTON AB CA T5J 2B3,780-392-3855,DISSOLUTION/DISSOLVED,2015-03-02,,,
A736,GFL ENVIRONMENTAL SOLID WASTE INC.,240 BALSAM RD NE    SLAVE LAKE AB CA T0G 2A0,780-422-1395,AMALGAMATED,2016-01-04,A78P,GFL ENVIRONMENTAL INC.,2016-05-31
A737,WERKLUND VENTURES LTD. , 400 3 AVE SW  SUITE 4500 DEVON TOWER   CALGARY AB CA T2P 4H2,403-231-6545,ACTIVE,2015-01-31,,,
A738,"HARTREE PARTNERS, LP",1185 AVENUE OF THE AMERICAS FL 9    NEW YORK NY US 10036-2604,212-536-8303,NON REGISTERED,1900-01-01,,,
