"","Organization","Date.of.Request","Question","Information.Provided","Interview...Date","type.of.media..print..TV..etc..","Topic"
"5102","watertoday.ca","2016-10-31","How much carbon is emitted when 7 litres of gasoline is burned?","One litre of gasoline contains approximately 34.66 megajoules ","n/a","online","energy information"
"5103","wall street journal","2016-11-01","looking for 2015 NEB report on forecast of oilsands GHG emissions","NEB does not forecast future GHGs. Reporter likely referring to the ECCC biannual submission to the UNFCCC. https://www.ec.gc.ca/GES-GHG/default.asp?lang=En&n=02D095CB-1","n/a","newspaper/internet","energy information"
"5104","interfax global energy services","2016-11-02","Series of questions based on 'recent public criticism of NEB","drected towards Peter Watson Senate Committee opening statement in Sept: http://news.gc.ca/web/article-en.do?mthd=tp&crtr.page=1&nid=1127649&crtr.tp1D=970","n/a","internet","neb authority"
"5105","national observer","2016-11-03","Would the NEB wish to write a rebuttal to an op-ed we ran by Robyn Allan? And would Ms. Milutinovic be available to talk about the Energy Futures report?","The NEB appreciates the opportunity to submit an op-ed but respectfully decline.","n/a","online","neb authority"
"5106","canadian press","2016-11-07","I’m working on a feature article about how Canadian companies are beefing up security in the wake of activist interference with pipelines and reports of rising theft and mischief incidents in the Alberta oilpatch.
I would like to interview someone at the NEB about security requirements for pipelines regulated by the NEB.
","MEDIA LINES (APPROVED OCT. 11, 2016)
Key Message(s):
•         The NEB is directly responsible for the safe and secure conduct of its own activities, and has a regulatory oversight role with respect to the safety and security of pipeline and energy infrastructure (related to its mandate).
NEB Security Provisions for NEB Operations/Sponsored Activities and Events:
•         The NEB takes action to ensure activities are conducted safely.  Risk assessment and mitigation planning are undertaken for all NEB activities, and vary based on the activity.  The NEB works with local law enforcement organizations to ensure activities are conducted safely.
•         The NEB has a robust policy and guidelines in place for Hearing Security, as well as its own Occupational Health and Safety (OHS) and Security (including physical and information security) provisions. 
NEB Regulatory Requirements for Security:
•         The NEB's Security Program is one of several ways the NEB takes action to protect the safety of the public and the environment. This program verifies regulated companies have adequate security to deter, detect, respond and manage security threats, including criminal and terrorist activity.
 
NEB Oversight 
•         Through its Security Program, the NEB verifies that its regulated companies have an adequate, implemented and effective security program meeting NEB requirements and expectations. It also promotes security awareness, communication, and information sharing among regulated companies.
•         Operations staff conduct various compliance activities including, inspections, compliance screenings and implementation assessments.  Specific to Enbridge facilities in Ontario and Quebec, in each of the past three compliance years, NEB security staff have inspected facilities between Sarnia and Montreal.  NEB staff have been in regular contact with the Enbridge security personnel and receive regular updates on the broad countermeasures implemented to protect the safety and security of the pipeline, the public and the environment in response to these incidents.  NEB staff are of the view that the countermeasures are consistent with Enbridge’s obligations under the OPR. 
•         The NEB pursues cooperation, partnerships and working agreements with federal, provincial, territorial and international departments and agencies.  The includes working closely with the NRCan Energy and Utility Sector Network as established under the Public Safety  National Strategy and Action Plan for Critical Infrastructure.  
Law Enforcement
•         Security incidents may involve local law enforcement agencies, depending on the nature of the incident.   In the case of the incidents referenced above, local law enforcement agencies are involved and have initiated criminal investigations and, where appropriate, laid criminal charges.  
•         NEB staff maintain regular contact with the police and other agencies from across Canada to monitor security incidents and threats to pipelines to protect the safety of the public and the environment.  A key component of a security program is the ability to share and receive timely information on security threats.  Board staff have worked to promote information sharing between all stakeholders.
Application of NEB Administrative Monetary Penalties (AMP)
•         Enforcement options in regards to the individuals involved in this type of activity have been reviewed by various groups within the Board and all groups have concluded that the Board does not have the authority to issue an AMP in relation to these incidents. The elements of a s. 112 violation (that pertain to “a person”) are not met as these incidents do not involve crossing over a pipeline with a vehicle or motor equipment).  
","TBD","online, print","safety and environmental protection"
"5107","la presse canadienne","2016-11-08","NEB Modernization Panel","Referred to minister","na","online, print","neb authority"
"5108","reuters","2016-11-08","Whatis  the total length of pipelines is for each Group 1 company in Canada, broken down by material carried?","","Nov. 8, 2016","online/print","energy information"
"5109","cbc tv/radio","2016-11-10","Is the Keystone XL certificate still valid?","Yes, assuming they meet their conditions. (Sunset clause was March 2011. Company began construction with two river crossings and tankage facilities","n/a","tv/radio","other major application"
"5110","carleton university","2016-11-10","Questions about 30 November Supreme Court hearing; How much does NEB regulate in ON?","Provided info on NEB-regualated projects in ON; referred caller to OEB; Cannot comment on issues that are before the Supreme Court","n/a","print/online","general inquiry"
"5111","le devoir","2016-11-14","Clarification on Line 9B integrity dig","Provided information on NEB requirements for operation and maintenance projects","na","online, print","line 9"
"5112","post media","2016-11-15","Cost Recovery - Trans Mountain","The National Energy Board is a cost-recovered agency. The National Energy Board Cost Recovery Regulations set out which costs the NEB recovers and the manner in which money is recovered. Approximately 90% of the Board's total expenditures are recovered from the companies it regulates under the National Energy Board Act. The calculation of cost recovery levies for a particular company is determined as set out in the Cost Recovery Regulations","na","online/print","trans mountain"
"5113","cbc radio canada","2016-11-18","How many pipeline inspections in Saskatchewan and Alberta in the last year? What norms are applied to these inspections","The NEB completed 34 field inspections in Saskatchewan and 44 were scheduled (some not yet completed) in Alberta this year.  Also provided some supplemental background information","na","tv/radio","safety and environmental protection"
"5114","national observer","2016-11-18","
Can the NEB provide an update on its assessment of the Trans-Northern pipeline and does it plan to respond or impose any sanctions on the three women who have chained them to a section of the pipeline infrastructure near Oka, Quebec this morning?

Does the NEB share the concerns raised by the women that the pipeline is at risk of contaminating drinking water for millions of people in the Montreal region?
","The NEB does not have legislated authority to issue sanctions against individuals for the type of activity that occurred on the TNPI pipeline on Friday, November 18.   
Regarding the TNPI pipeline, the Amending Safety Order issued on September 27th will uphold safety and environmental protection to improve pipeline safety.
Should the company fail to meet all requirements of the Safety Order, we will take additional enforcement action that may include suspension of their authority to operate the pipeline.
Since the NEB issued Safety Orders in 2009 and 2010, there have been no releases of product on the TNPI pipeline. 
","2016-11-22","online","safety and environmental protection"
"5115","canadian press","2016-11-21","Can you clarify that David Hamilton’s appointment as chair of the Energy East panel was announced today? And can you clarify if David will be replaced as chair when the new members of the Energy East panel are announced, or if he will remain in the role throughout the process?","Mr. Hamilton’s appointment was announced on Friday afternoon (November 18). Mr. Hamilton will carry on in his role as Acting Board Chair throughout the Energy East review. To be clear, once a new Hearing Panel is assigned, it will be part of Mr. Hamilton’s role to name a Hearing Panel Chair. The role of Acting Chair is distinct from Hearing Panel Chair. Some of his other duties include ensuring that the NEB’s review of the Energy East and Eastern Mainline Projects is carried out within the legislated time limits.","2016-11-21","online/print","energy east"
"5116","globe and mail","2016-11-21",". I’m trying to figure out how many local governments were intervenors in the Kinder Morgan Trans Mountain hearing, which province they were from, and then – if possible – how many were for and how many were against.
Can you point me in the right direction?
","Counted 24 municipalities; Provided links to intervenors and City of Edmonton filings","2016-11-21","online/print","trans mountain"
"5117","the hill times","2016-11-21","Can you summarize where we're at in the process for Energy East. Are hearings, or consultations still on? If not, when do they start again? And when are some of the dates when decisions are due from both the NEB and (if you know) the government on Energy East?","The Energy East Hearing is adjourned. New Temporary Board Members to be appointed; Current hearing timeline is 21 months. Please contact NRCan with questions about extension to time limit","2016-11-21","online","energy east"
"5118","regina leader-post","2016-11-21","looking for provincial breakdowns of what sources provinces use to generate power (ie Saskatchewan – Coal 42%; Natural gas 34%; Wind 10 %; Hydro 10%, etc., etc.)","To update the data for the latest release, it can simply be taken from our appendix under electricity capacity: https://apps.neb-one.gc.ca/ftrppndc4/dflt.aspx?GoCTemplateCulture=en-CA","n/a","online","neb authority"
"5119","cbc","2016-11-22","How many First Nations reserves does Trans Mountain bisect?","Referred to the Trans Mountain Report and # of FN communities in the path of the project","2016-11-21","tv/radio","trans mountain"
"5120","argus media","2016-11-22","Is there a timeline to name the other two panelists? 

How does this all affect the 21-month timetable set for the review? The hearings were adjourned on 30 August which is almost 3 months ago so it seems that there would be a delay in the final report. It was set for March 2018. Is that still the plan? 
","Mr. Hamilton was appointed as the Acting Chair of the Board for the sole purpose of making certain executive decisions related to the NEB’s review of the Energy East and Eastern Mainline projects. For example, part of Mr. Hamilton’s role will be to assign a Hearing Panel, and to ensure that the NEB’s review meets the 21-month legislated time limits for the review of the Energy East and Eastern Mainline applications. Mr. Hamilton will be the Acting Chair only for decisions related to the Energy East and Eastern Mainline projects. Peter Watson remains the Chair and CEO of the NEB.
To be clear, Mr. Hamilton will not be part of the three-member Hearing Panel assigned to review the Energy East project. The Hearing Panel has not yet been named. We are expecting three Temporary Board Members to be appointed by the Government of Canada and that has not yet happened. 

At this point, the 21-month time limit for the NEB’s review has not changed. 
","2016-11-22","online","energy east"
"5121","le devoir","2016-11-22","Update on Energy East (role of David Hamilton)","Provided information available on Mr. Hamilton","na","online, print","energy east"
"5122","canadian press","2016-11-22","Is the GiC decision deadline on Nov. 25? ","Yes. Referred to NRCan and the company for specific GiC questions. ","2016-11-22","online","other major application"
"5123","cbc","2016-11-22","What First Nations reserves will TMX pass through, total value of mutual benefit agreements, total number of non-First Nations prperties TMX passes through","Provided number of First Nations resereves impacted by TMX (bisected), referred reporter to the company for info on Mutual Benefit Agreements, provided number of non-First Nations propoerties","n/a","tv/radio","trans mountain"
"5124","cbc","2016-11-23","General research for Power Generation mix in Canada and open data available","Provided numerous links","na","online, print","energy information"
"5125","radio-canada","2016-11-23","Update on Energy East","Provided update (standard response)","na","online, tv","energy east"
"5126","news deeply","2016-11-23","Crown Consultation with regards to MKI / Supreme Court hearing into 'duty to consult'","It is not the National Energy Board’s practice to comment on matters currently before the Court.  ","n/a","print/online","arctic"
"5127","canadian press","2016-11-24","do you know where I could find the total capacity for line 3? I see that average throughput would be 760,000, but since they’re increasing the size of the pipeline it seems the final capacity could be higher. I saw the number of 915,000 bbld/d as ultimate capacity in some US reg filings, is that stated clearly in any NEB docs? ","It is not stated in NEB regulatory documents. Following are all the stats that we have taken from the application and the decision. 

The Project
1,096 – Approximate total length of new pipe to be installed, in kilometres (or slightly longer than the Assiniboine River)
15 – Expected length of construction, in months 
48 – Years the existing Line 3 pipeline has been in service
760,000 barrels per day – Expected average daily capacity of Line 3
24,493 – Estimated number of direct and indirect jobs to be generated by the project
The National Energy Board Review
357 – Length of the NEB’s review process in working days
650 – Number of pages of hearing transcripts
700 – Approximate number of pieces of evidence on the record
39– Number of Intervenors
26– Number of participants who provided the NEB with a Letter of Comment
14 – Number of Indigenous Groups who provided Oral Traditional Evidence
8 – Number of oral hearing days
The Report
3 - Number of provinces where Enbridge will be required to hold Emergency Response Exercises
89 - Total number of project conditions imposed by the NEB 
3 – Number of years before the NEB’s Certificate of Public Convenience and Necessity expires
","2016-11-24","online","other major application"
"5128","cbc politics","2016-11-24","I was reading an article from the Vancouver Sun last month -- http://vancouversun.com/storyline/40-aboriginal-groups-sign-on-in-support-of-kinder-morgan-enbridge
 
They report that many Indigenous groups have sent letters of support for the Trans Mounta expansion -- I was wondering if you could supply a list of those groups?
 
It also notes: 

""Of the six First Nations with reserves directly on the pipeline route, four have endorsed the project.""
","Thanks for your email. We don’t maintain a list of which intervenors are for or against a project. NEB recommendations are based on the evidence on the record, not on the number of people for or against the project.
However, I took a look in our document repository and was able to find a number of First Nations who have indicated their support for the project. Here are the ones that I found:
 
Letters of Support
 
1. Ditidaht First Nation – Port Alberni, BC
2. Esquimalt Nation – Victoria, BC
3. Alexis Nakota Sioux Nation – Glenevis, AB
4. Aseniwuche Winewak Nation of Canada – Grande Cache, AB
5. Ashcroft Indian Band – Ashcroft, BC
6. Enoch Cree Nation – Enoch, AB
7. Ermineskin Cree Nation – Maskwacis, AB
8. O’Chiese First Nation – Rocky Mountain House, AB
9. Lake Cowichan First Nation – Lake Cowichan, BC
10. Beecher Bay Nation – Beecher Bay, BC
11. Kelly Lake Cree Nation – NAME REMOVEDslake, BC
12. Samson Cree First Nation – Maskwacis, AB
13. Penelakut Tribe – Chemainus, BC
14. Pauquachin First Nation – Pauquachin, BC
15. Pacheedaht First Nation – Port Renfrew, BC
16. Matsqui First Nation – Matsqui, BC
17. Whispering Pines/Clinton Indian Band – Kamloops, BC
18. BC Métis Federation 
You may want to get in touch directly with Trans Mountain as I’m sure they could provide you with a list of those who have expressed their support.
 
I hope this is helpful John NAME REMOVED, but please let me know if you have any further questions.
","n/a","online","trans mountain"
"5129","cbc ottawa","2016-11-24","When government announces decision on pipeline projects, are their rules on how or when they share this decision publically.","Referred her to sections 54.3 and 55.1(2) of NEB Act.","n/a","online/tv","other major application"
"5130","north american energy news","2016-11-24","“potential application of US shale drilling and production techniques to Canada?”","told about differences between US and Cdn plays, both economic and geological. ","2016-11-25","online","energy information"
"5131","national observer","2016-11-25","I haven’t yet heard back from anyone on the further responses that were expected. Do you have any further information or context that you could share at this time?

For example, would you be able to provide more details about why you needed to leave before the successful hydotest? Was it impossible at that point to change your flights back to Calgary?

And how would you describe the relationship that engineers at the NEB have with the lawyers who work at the NEB?
","Sent the reporter a copy of the final and approved english version of the Le Devoir letter. ","na","online","safety and environmental protection"
"5132","arctic deeply","2016-11-25","Supreme Court hearing into Clyde River and Chippewas of the Thames","It is not the National Energy Board’s practice to comment on matters currently before the Court.  ","2016-11-25","online/print","arctic"
"5133","cbc north","2016-11-25","Has Line 21 been shut down? Why? When was the NEB informed? Is the slope instability a result of climate change?","Media lines","2016-11-25","online","safety and environmental protection"
"5134","cp","2016-11-25","Can you say whether the Norman Wells pipeline has been shut down as a safety precaution? And if it’s the case, can you provide more details as to what the issue is, and how much of a threat there is to the public and the environment? ","The National Energy Board has been informed that Enbridge has identified an inconsistent reading from one of the measurement tools used to monitor the slope surrounding a section of its Line 21 Pipeline. Out of an abundance of caution, the company has proactively shut down the line while they investigate. While carrying out routine monitoring of the pipeline where it crosses the Mackenzie River, Enbridge staff noted that the south slope could possibly exceed tolerances for safe operation during the spring melt. 

There is no threat to the safety of either the public or the environment. 

The NEB requires operators in Canada to regularly inspect their pipelines to identify anomalies, such as signs of slope instability, well before they become an issue. We expect the companies we regulate to identify potential concerns before they become a problem.
","2016-11-25","online/print","safety and environmental protection"
"5135","le soleil","2016-11-25","Clarification on Line 9B integrity dig","Provided information on NEB requirements for operation and maintenance projects","na","online, print","line 9"
"5136","radio-canada (rci)","2016-11-25","Clarification on Line 9B integrity dig","Provided information on NEB requirements for operation and maintenance projects","Na","online, print","line 9"
"5137","north american energy news","2016-11-27","Can I speak to someone at NEB to talk about the nuts and bolts of the modernization process?","Reporter referred to NRCan communications","n/a","","energy information"
"5138","natural resources magazine","2016-11-28","What is the latest on Energy East?","Media lines","2016-11-28","online/print","energy east"
"5139","reuters","2016-11-28","Are there any provisions to allow for the time limit for section 52 applications to be extended?","there are a couple of provisions in the NEB Act for extending the 15-month time limit that applies to our review of pipeline applications.
 
First, I would point you to section 52 (5) of the NEB Act, which says:
• Excluded period
(5) If the Board requires the applicant to provide information or undertake a study with respect to the pipeline and the Board, with the Chairperson’s approval, states publicly that this subsection applies, the period that is taken by the applicant to comply with the requirement is not included in the calculation of the time limit.
 
Second, section 52 (7) of the NEB Act says:
• Extension
(7) The Minister may, by order, extend the time limit by a maximum of three months. The Governor in Council may, on the recommendation of the Minister, by order, further extend the time limit by any additional period or periods of time.
","n/a","online/print","energy east"
"5140","cbc","2016-11-28","Tsleil-Waututh Nation's statement on lack of consultation","During the course of the 2+ year hearing into the Trans Mountain Expansion, much evidence was filed, including various points of view and data.  The Board considered all of the evidence on the record in coming to its decision.  The information you quoted was one piece of evidence filed by an intervenor (The Upper Nicola Band) and must be viewed within the context of all other evidence submitted.  Individuals are welcome to visit the Board’s website to explore all of the evidence that was filed, but we cannot comment on specific details as the Board’s decision must speak for itself.  
 
I would recommend that you contact Trans Mountain directly as they would be in a better position to speak to the numbers quoted in the evidence submitted by the Upper Nicola Band.  
","2016-11-29","tv/radio","trans mountain"
"5141","national observer","2016-11-28","Supreme Court hearing into Clyde River and Chippewas of the Thames","It is not the National Energy Board’s practice to comment on matters currently before the Court.  ","na","online, print","arctic"
"5142","national observer","2016-11-28","Crown Consultation with regards to MKI / Supreme Court hearing into 'duty to consult'","It is not the National Energy Board’s practice to comment on matters currently before the Court.  ","n/a","print/online","arctic"
"5143","telegraph journal","2016-11-29","Update on Energy East","Provided update (standard response)","na","online, print","energy east"
"5144","cbc","2016-11-29","Supreme Court hearing into Clyde River and Chippewas of the Thames","It is not the National Energy Board’s practice to comment on matters currently before the Court.  ","na","tv/radio","arctic"
"5145","the tyee","2016-11-29","Is there a way to find out if a certain company has an export licence for oil and gas?","Go into livelink to see all applications for licenses. They can go into the appropriate commodity and click on the company name here: https://docs.neb-one.gc.ca/ll-eng/llisapi.dll?func=llworkspace&_gc_lang=_en_US","n/a","online","energy information"
"5146","cbc nunavut","2016-11-29","Crown Consultation with regards to MKI / Supreme Court hearing into 'duty to consult'","It is not the National Energy Board’s practice to comment on matters currently before the Court.  ","n/a","tv/radio","arctic"
"5147","bloomberg","2016-11-30","Update on Energy East","Provided update (standard response)","Na","online, print","energy east"
"5148","aptn","2016-11-30","What happens now that TMX and Line 3 are approved? What are next steps?","Now that TMX and Line 3 have been approved by Governor in Council (GIC) the NEB is required, within seven days of receiving the GIC’s order, to issue a certificate of Public Convenience and Necessity (CPCN). As the Prime Minister noted yesterday, both projects are subject to a number of binding conditions that must be met before the project can proceed, some with longer lead times. Click here for a summary of the conditions placed on the TMX project. The final conditions attached to the NEB’s decision would form part of the certificate.After the certificate is issued, TMX  is required to file its Plan, Profile and Book of Reference (PPBoR ) with the NEB and can’t begin construction ahead of NEB approval of that plan. Click here for much more detail into this process of Approval of the Detailed Route of a Pipeline.","n/a","online","trans mountain"
"5149","cbc","2016-11-30","looking for details on TMX consultation process","sent the report all NEB backgrounders;  clips to the TMX report.","n/a","radio","trans mountain"
"5150","globe and mail","2016-11-30","can you clarify if the consultation process included First Nations along the shipping route as well as the pipeline route?","Yes, First Nations along the shipping and pipeline route were involved in the process. The Major Projects Management Office (MPMO) serves as the Crown Consultation CoorNAME REMOVEDtor, and is the Government’s primary point of contact for Indigenous groups. The MPMO coorNAME REMOVEDtes the consultation requirements of federal departments and agencies with relevant regulatory mandates. Upon receipt of a Project Description, the MPMO, NEB and Indigenous and Northern Affairs Canada work collaboratively to establish a list of potentially impacted Indigenous groups. The MPMO finalizes the Crown’s list.","n/a","print/online","trans mountain"
"5151","le devoir","2016-12-01","Update on Energy East","Provided update (standard response)","na","online, print","energy east"
"5152","la presse","2016-12-01","Update on Energy East","Provided update (standard response)","na","online, print","energy east"
"5153","globe and mail","2016-12-01","On your website, the NEB lists a slew of legal challenges against it regarding Trans Mountain expansion. I can’t tell which of those, if any, remain outstanding. Can you provide that information?","that there are 7 outstanding judicial review applications involving the May 19, 2016 NEB Report for TMX.  Currently there are a number of motions before the Federal Court of Appeal about these judicial review applications that have been before the Court for several months and have not been ruled on.  When there are any rulings from the Court, that chart on our website will be updated.","n/a","print/online","trans mountain"
"5154","engineering news-record","2016-12-01","List of questions regarding TMX and Line 3 process","Reporter referred to both NRCan and NEB backgrounders on both projects","n/a","print/online","trans mountain"
"5155","edison electric institute","2016-12-01",".       Listing of all Companies that export power to the United States.
2.      Amount of electricity exported to these recipients.
3.      Revenues associated with the sale to these recipients.
","https://apps.neb-one.gc.ca/CommodityStatistics/Statistics.aspx?language=english 
Choose Electricity, Table 2A and the desire format. If you want annual data, choose the month of December for the specific year (ex. “Dec 2015” for 2015 data). ","n/a","online","energy information"
"5156","le soleil","2016-12-05","Update on Energy East","Provided update (standard response)","n/a","print/online","energy east"
"5157","cbc nb","2016-12-07","Is there anything happening to get the Energy East hearings back on track?","The Energy East Hearing is currently adjourned and the NEB has yet to name a new Hearing Panel. We understand from the a recent NRCan news release that new Temporary Board Members will be appointed to the NEB in the coming weeks. Once they have been appointed, the NEB is expected to name a new Hearing Panel.

","n/a","online/tv","energy east"
"5158","le devoir","2016-12-07","I would like to know:

-how many pipeline projects were ever rejected by the NEB?
","Every pipeline project the NEB reviews undergoes a rigorous, science-based testing that is among the highest - if not the highest - standard for assessment in the world. And in fact, the NEB does not approve any project application as it is submitted. The Board attaches conditions to any recommendation for approval. Conditions are legal requirements that are designed to make a project even safer.
 
The NEB has denied pipeline applications in the past, although admittedly not very frequently. There are also a number of project applications that do not make it to hearing, that are withdrawn or that are approved and never built.

Some examples of pipeline applications that were denied include:
•         Westcoast Transmission CO Ltd (GH-2-78)
•         TransCanada PipeLines Limited (GH-4-90)
•         TransCanada PipeLines Limited (GH-1-91)
•         Intercoastal Pipe Line Inc. and Interprovincial Pipe Line Inc. (GH-4-93)
•         Sumas Energy 2, Inc. (EH-1-2000)
","n/a","online/print","general inquiry"
"5159","radio-canada (moncton)","2016-12-12","Interview request with Don Ferguson","Declined interview","na","tv, radio","energy east"
"5160","cbc manitoba","2016-12-12","Requested update on restart on hearing","Provided statement","na","tv, radio","energy east"
"5161","canadian press","2016-12-12","Requested update on restart on hearing","Provided statement","na","tv, radio","energy east"
"5162","radio-canada (mtl)","2016-12-12","Requested update on restart on hearing","Provided statement","na","tv, radio","energy east"
"5163","radio-canada","2016-12-12","Requested photos of new BM","Redirected to NRCan","na","tv, radio","energy east"
"5164","reuters","2016-12-12","anything you can tell me about today's appointment of new Temporary Board Members?","The Government of Canada has just announced the appointment of three new Temporary National Energy Board Members. We have not yet named the Energy East Hearing Panel, however we expect that to happen shortly.
 
","n/a","online/print","energy east"
"5165","cbc","2016-12-12","Do you know if there will be any changes to the timeline? Is a final report still expected in May 2018? As I understand -- it's actually the chair or acting chair that makes the final assignment, is that right? Who is that right now? ","At this point, there is no change to the time limit for the review of the Energy East Project. You are correct, the NEB Chair will name the new Hearing Panel. David Hamilton is the Acting NEB Chair for the purpose of Energy East.","n/a","online","energy east"
"5166","bnn","2016-12-12","I just want to clarify on the Minister’s appointment of the three new board members. 
They haven’t been named to the Energy East review panel, right? 
It’s my understanding that would be up to the acting chair. 
","The new Temporary Board Members announced today have not been named to the Energy East Hearing Panel. As of yet, we have not named a panel but expect to do so shortly.

‎I can also confirm that the timetable limit for the review, has not changed.
","n/a","online/tv","energy east"
"5167","canadian press","2016-12-13","Requested incident reporting data (who reports incidents and their respective statistics)","Directed to theNEB web site whether the information resides: https://www.neb-one.gc.ca/sftnvrnmnt/sft/dshbrd/mp/dt-eng.html","2016-12-13","tv, radio, online","safety and environmental protection"
"5168","radio gaspe","2016-12-14","Requested documents on TUGLIQ export application","Sent the regdocs links","na","radio","lng"
"5169","reuters newswire","2016-12-14","Does the NEB have full incident statistics, including time to report.","Provided requested link to Pipeline Safety Map and downloadable incident database","Dec.13. 2016","online/print","safety and environmental protection"
"5170","bloomberg","2016-12-15","Are you able to provide me with a list on Friday of existing offshore oil and gas drilling and/or exploration leases in the arctic?  Do you folks have any detail on expiry dates of these licenses? ","Provided Links","n/a","online","arctic"
"5171","globe and mail","2016-12-15","Clarification of C02 emissions associated with increased marine traffic","Provided clarification and link to Trans Mountain Filing with information on projected C02 emissions","2016-12-15","online/print","trans mountain"
"5172","argus media","2016-12-15","Are there any subsidies in Canda for heating or electrical production from Biomass","We don't keep an exhasutive list of all biomass-related subsidies on hand, however amost every province and territory has an energy efficiency program that would include things like rebates for wood pellet fueled furnaces, etc.","n/a","online","energy information"
"5173","burnaby now","2016-12-15","Comment on  the City of Burnaby's decision to file an appeal with the Federal Court of Appeal with regards to the route of TMX","You’ve indicated to me that the City of Burnaby has filed or will file an appeal with the Federal Court.  The NEB has always taken the stance that it does not comment on matters before the court.  Therefore it would be inappropriate to for me to provide you with any comment on this issue.

That said, the NEB does track these court challenges","2016-12-15","online/print","trans mountain"
"5174","canadian press","2016-12-20","How much (offshore) drilling (in Canada) is there  now and where it’s allowed and not allowed.","NEB regulates offshore activity in the North (Arctic), in the Gulf of the Saint Lawrence River, and the West Coast.  There is currently no drilling activity in any of the above areas and there has been no drilling activity in these regions for the past 10 years.  3 Regions no drilling activity: Lancasater Sound, Offshore BC, the 'wedge'.  Drilling activity on east coast regulated by CNLOPB/CNSOPB","na","print/online","arctic"
"5175","canadian press","2016-12-21","What the definition of a “significant discovery” is?
How many companies have this status? Who are they?
And what are their “existing permit timelines” specifically.
","Link to INAC's site and Section 28 of the Canada Petroleum Resources Act","na","print/online","arctic"
"5176","cbc","2016-12-21"," how the GOC decision to ban drilling might impact decisions by the board, specifcally about seismic testing around Clyde River in the Davis Strait.","In light of the recent announcement made by the Government of Canada, a distinction must be drawn between offshore drilling and offshore seismic testing.  Seismic testing does not involve drilling, but the identification of subsurface resources. In regards to how this may or may not impact companies implicated in the Clyde River hearings, It is not the National Energy Board’s practice to comment on matters currently before the Court. 
However, as this is a Government of Canada decision and not a decision taken by the NEB, I would advise that you contact Natural Resources Canada to better understand how this policy will affect future exploration activities in Canada’s Arctic.
","na","tv/radio","arctic"
"5177","the walrus","2016-12-22","I'm wondering if spills that happen in the facilities of pipeline operators are easier to clean and cause less environmental damage. ","Typically, facilities are designed with secondary containment appropriate to the type and volume of products handled, so in the majority of cases, released product is restricted from reaching environmentally sensitive receptors and is relatively easily‎ recovered. On the other hand, if released product does make it into the soil and or groundwater, it may be challenging to access to remediate if pipeline facility infrastructure is in the way. However, as the facility is under company care and control,‎ it may be easier to monitor and risk manage residual contamination and/or move or work around the existing infrastructure if immediate remediation is warranted.","n/a","print/online","safety and environmental protection"
"5178","daily oil bulletin","2017-01-03","Please confirm whether the new date for a GIC decision on Towerbirch is March 22? ","I don’t have a specific date I can give you, but we are expecting a Government decision on or before April 6 2017. 

","n/a","online","other major application"
"5179","canadian press","2017-01-03","see that Kinder Morgan has committed to installing a secondary detection system, which is apparently required in Germany but not in Canada. Has the NEB considered requiring multiple detection methods? And if so where do those stand, and if not, why not?

Also, both pipeline companies say their detection methods can only be relied on to detect leaks of three per cent of volume or higher, even though there are technologies that would allow for much more fine detection – has the NEB considered requiring more accurate leak detection systems? Again, if so, where do those stand, and if not, why not?

And finally I’ve been told the NEB has been more accurately tracking how leaks are detected since 2015 – could you explain what prompted the increased monitoring. 
","RDIMS #991131","n/a","online; print","trans mountain"
"5180","brunswick news","2017-01-03","Requested update on restart of the Energy East hearing","Said that the NEB needed to name the new Energy East Hearing Panel first (in the coming weeks)","na","online, print","energy east"
"5181","daily oil bulletin","2017-01-04","Is there a way to tell how much Marcellus gas is coming into Dawn hub using NEB stats?","No, the gas molecules cannot be color coded when they arrive into Dawn.","n/a","online","energy information"
"5182","the walrus","2017-01-06","When oil spills on company property, is that mosly on tank farms and loading stations?","The majority of NEB-regulated pipeline and facility releases in general are releases of natural gas that originate from above-ground facilities not the pipeline itself. 
The majority of liquid releases also occur at above-ground facilities and do not impact off-company property (note that the NEB does not consider the right-of-way to be company property). In 2016, there was one liquid release (which was produced-water, not oil) that migrated off company property. In total, there were nine liquid releases from NEB-regulated pipelines/facilities in 2016. Five of those were crude oil or refined product (all contained to the site). The others were produced-water (3 of 4 which were contained to the site.)
The NEB requires the company to respond to incidents and take appropriate actions to protect safety of the public and their employees, control the source of the incident and minimize impacts to the environment or property. If it does not believe the company is taking the appropriate actions, the NEB can take over control of the incident response. All incidents are taken very seriously. Companies are required to investigate incidents and implement corrective and preventative actions. The NEB reviews the results of the companies investigations to determine whether appropriate and, if necessary, will modify the results and direct companies to take additional actions.
","n/a","print/online","safety and environmental protection"
