Incident Number;Incident Types;Reported Date;Nearest Populated Centre;Province;Company;Status;Latitude;Longitude;Approximate Volume Released (mﾳ);Substance;Release Type;Significant;Year;Occurrence Date and Time;Discovered Date and Time;Detailed what happened;What happened category;Detailed why it happened;Why it happened category;Duration of interruption of pipeline operations;Pipeline or Facility Type;Activity being performed at time of incident;How the incident was discovered;Closed Date;Pipeline or facility equipment involved;Rupture;Incident type;Released substance type;Released volume (m3);Pipe body release;Residual effects on the environment;Source of Explosion;Source of Fire;Activity at time of fatality;Number of fatalities;Type of Injury;Number of individuals injured;Workdays lost;Work restricted by injury;Conditions that resulted in the operation beyond  limits;Conditions that resulted in adverse effects on the environment;Number of people evacuated;Regulation;Pipeline Name;Pipeline outside diameter (NPS);Pipeline length (km);Substance carried;Facility Name;Facility Type;Facility latitude;Facility longitude;Country;Affects Company Property;Off Company Property;Affects Pipeline right-of-way;Affects off Pipeline right-of-way;Land Use;Population Density;Kilometre post;Emergency Level;Investigation Type;Was NEB Staff Deployed;Related NEB event number;Equipment or component involved;Design standard;Nominal pipe size;Material;Material grade;Schedule;Design wall thickness (mm);Custom design wall thickness (mm);Actual wall thickness (mm);Licensed maximum operating pressure (kPa);Restricted operating pressure (kPa);Actual operating pressure at time of failure (kPa);Designed depth of cover (m);Actual depth of cover (m);Year of manufacture;Year of installation;Year when put into service;Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4);Weld type ;Seam type;Seam joining method;Seam clock position;Coating location;Coating type;Coating condition;Application method;Year when the coating was applied;Insulation installed;Repair type;Repair date;Equipment or component has never been inspected;Most recent inspection date for the failed equipment or component;Type of most recent inspection;Most recent inspection part of the routine inspection program;No maintenance done on this equipment or component;Date of the most recent maintenance work for the failed equipment or component;Most recent maintenance Type;Most recent maintenance work part of the routine maintenance program
INC2017-094;Operation Beyond Design Limits;7/10/2017;Hanna, Alberta;Alberta;NOVA Gas Transmission Ltd.;Closed;51.4;-111.79;Not Applicable;Not Applicable;Not Applicable;No;2017;2017/07/07 03:58:00 AM Mountain;2017/07/07 03:58:00 AM Mountain;Damage or deterioration mechanism, Other Causes, Improper Operation;Incorrect Operation;Job or system factors, Inadequate tools and equipment, Inadequate availability;Tools and Equipment;No pipeline interruption;Transmission;Operation;SCADA;2/20/2018;No;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Over Pressure;NULL;0;OPR;NORTH LATERAL EXTENSION - NPS 16;406.4;276.2667792;Natural Gas;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Shrub Land;10 or fewer dwelling units per km;NULL;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-095;Operation Beyond Design Limits;7/10/2017;Bonanza, Alberta;Alberta;NOVA Gas Transmission Ltd.;Closed;55.89250404;-119.7913826;Not Applicable;Not Applicable;Not Applicable;No;2017;2017/07/09 12:35:00 PM Mountain;2017/07/09 06:00:00 PM Mountain;Damage or deterioration mechanism, External Interference, Third Party;External Interference;Job or system factors, Inadequate engineering, Inadequate or improper controls;Engineering and Planning;No pipeline interruption;Transmission;Operation;Employee / Contractor (Onsite);11/9/2017;No;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Inappropriate Product;NULL;0;OPR;HENDERSON CREEK LATERAL - NPS 6;168.3;9.04174759;Natural Gas;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Shrub Land;10 or fewer dwelling units per km;NULL;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-096;Operation Beyond Design Limits;7/11/2017;Gananoque;Ontario;Trans-Northern Pipelines Inc.;Submitted;44.371;-76.203;Not Applicable;Not Applicable;Not Applicable;No;2017;NULL;2017/07/08 12:00:00 PM Eastern;"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring";Natural Force Damage;"Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;External Interference, Natural or Environmental Forces";Engineering and Planning, Maintenance, Natural or Environmental Forces;No pipeline interruption;Transmission;Operation;Inspection Site Visit;NULL;Yes;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Exposure in a Waterbody;NULL;0;OPR;Mainline;273.1;635.0188165;Refined Products-Aviation;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Water / Wetlands;10 or fewer dwelling units per km;kmp 263.7 (Mile Post 164.8);Level I;Standard Review;No;INC2017-085;Pipeline, Pipe, Body;NULL;NPS 10;Carbon Steel;317 - X46;NULL;7.8 mm = 0.307 in;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;External;Coal Tar Enamel Narrow;NULL;NULL;NULL;No;NULL;NULL;Yes;NULL;NULL;No;Yes;NULL;NULL;No
INC2017-097;Operation Beyond Design Limits;7/12/2017;Twin Butte, AB;Alberta;NOVA Gas Transmission Ltd.;Closed;49.30721239;-114.0149945;Not Applicable;Not Applicable;Not Applicable;No;2017;2017/07/11 10:22:00 PM Mountain;2017/07/11 10:22:00 PM Mountain;Damage or deterioration mechanism, Other Causes, Unknown;Other Causes;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Tools and Equipment;No pipeline interruption;Transmission;Operation;SCADA;10/26/2017;Yes;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Over Pressure;NULL;0;OPR;WATERTON LATERAL - NPS 16;406.4;2.58406056;Natural Gas;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Developed Land - Industrial;10 or fewer dwelling units per km;N/A;Level I;Standard Review;No;NULL;Station/Facility, Compression, Compressor;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-098;Operation Beyond Design Limits;7/12/2017;Napanee;Ontario;Trans-Northern Pipelines Inc.;Submitted;44.236964;-76.84911;Not Applicable;Not Applicable;Not Applicable;No;2017;NULL;2017/07/10 12:00:00 PM Eastern;"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring";Natural Force Damage;"Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring";Engineering and Planning, Maintenance;No pipeline interruption;Transmission;Operation;Inspection Site Visit;NULL;No;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Exposure in a Waterbody;NULL;0;OPR;NULL;NULL;NULL;NULL;DESERONTO STATION;NULL;44.22481905;-77.0524542;Canada;Yes;No;No;No;Water / Wetlands;10 or fewer dwelling units per km;MP 199.06;Level I;Standard Review;No;INC2017-085;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-099;Operation Beyond Design Limits;7/12/2017;Brockville;Ontario;Trans-Northern Pipelines Inc.;Submitted;44.554447;-75.798016;Not Applicable;Not Applicable;Not Applicable;No;2017;NULL;2017/07/11 12:00:00 PM Eastern;"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring";Natural Force Damage;"Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring";Engineering and Planning, Maintenance;No pipeline interruption;Transmission;Operation;Inspection Site Visit;NULL;No;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Exposure in a Waterbody;NULL;0;OPR;NULL;NULL;NULL;NULL;MAITLAND STATION;NULL;44.6430712;-75.61878451;Canada;Yes;No;No;No;Water / Wetlands;10 or fewer dwelling units per km;MP 140.08;Level I;Standard Review;No;INC2017-085;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-100;Fire;7/14/2017;Patricia, AB;Alberta;NOVA Gas Transmission Ltd.;Closed;50.697092;-111.489744;Not Applicable;Not Applicable;Not Applicable;No;2017;NULL;2017/07/12 04:45:00 PM Mountain;Damage or deterioration mechanism, External Interference, Unknown;External Interference;External Interference, Natural or Environmental Forces;Natural or Environmental Forces;No pipeline interruption;Transmission;Operation;Other Control System;11/3/2017;No;No;Fire;NULL;NULL;NULL;No;NULL;Other Event (Nature or 3rd Party);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;EASTERN ALBERTA M/L LOOP #3;1219;36.19977727;Natural Gas;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Agricultural Cropland;10 or fewer dwelling units per km;N/A;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-101;Release of Substance;7/14/2017;Taylor;British Columbia;Westcoast Energy Inc., carrying on business as Spectra Energy Transmission;Closed;56.14630285;-120.6691693;300;Natural Gas - Sour;Gas;No;2017;2017/07/13 04:00:00 PM Pacific;2017/07/13 04:00:00 PM Pacific;Damage or deterioration mechanism, Equipment, Gasket/O-ring;Equipment Failure;"Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Inadequate communications, Inadequate communication between work groups ";Engineering and Planning, Failure in communication, Inadequate Procurement;No pipeline interruption;Processing;Operation;Employee / Contractor (Onsite);11/9/2017;Yes;No;Release of Substance;Natural Gas - Sour;300;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;PPR;NULL;NULL;NULL;NULL;MCMAHON GAS PLANT (MCMAHON);NULL;56.14630285;-120.6691693;Canada;Yes;No;No;No;Developed Land - Industrial;10 or fewer dwelling units per km;NULL;Level I;Standard Review;No;NULL;Processing Plant, Dehydration;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-102;Release of Substance;7/18/2017;Sherwood Park, AB;Alberta;Enbridge Pipelines Inc.;Closed;53.544231;-113.349269;12.8;Crude Oil - Synthetic;Liquid;Yes;2017;2017/05/30 10:30:00 AM Mountain;2017/05/30 10:30:00 AM Mountain;Damage or deterioration mechanism, Material Loss, Internal Material Loss;Corrosion and Cracking;Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Engineering and Planning;Long-term interruption;Transmission;Operation;Employee / Contractor (Onsite);11/9/2017;Yes;No;Release of Substance;Crude Oil - Synthetic;12.8;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;Meter;NULL;NULL;Canada;Yes;No;No;No;Developed Land - Industrial;10 or fewer dwelling units per km;0;Level I;Standard Review;No;INC2017-084;Pipeline, Pipe, Body;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;Yes;NULL;NULL;No;Yes;NULL;NULL;No
INC2017-103;Release of Substance;7/20/2017;Rapid City, Manitoba;Manitoba;TransCanada PipeLines Limited;Closed;50.07617;-99.9867;58.7;Natural Gas - Sweet;Gas;No;2017;NULL;2017/07/20 10:00:00 AM Central;Damage or deterioration mechanism, Cracking, Fatigue;Corrosion and Cracking;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Maintenance;No pipeline interruption;Transmission;Operation;Employee / Contractor (Onsite);11/24/2017;Yes;No;Release of Substance;Natural Gas - Sweet;58.7;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;LINE 100-2;609.60000000, 863.60000000, 762.00000000, 508.00000000, 914.40000000;3393.42642;Natural Gas;NULL;Meter;NULL;NULL;Canada;Yes;No;No;No;Agricultural Cropland;10 or fewer dwelling units per km;NA;Level I;Standard Review;No;NULL;Station/Facility, Compression, Compressor;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-104;Fire;7/21/2017;Dorion, Ontario;Ontario;TransCanada PipeLines Limited;Closed;48.598185;-88.807598;Not Applicable;Not Applicable;Not Applicable;No;2017;2017/07/21 11:00:00 AM Eastern;2017/07/21 11:00:00 AM Eastern;Substandard Conditions, Weather Related, Temperature Extremes;External Interference;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Maintenance;No pipeline interruption;Transmission;Maintenance;Employee / Contractor (Onsite);11/20/2017;No;No;Fire;NULL;NULL;NULL;No;NULL;Housekeeping;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;LINE 100-1;863.60000000, 762.00000000, 508.00000000;2595.724534;Natural Gas;NULL;NULL;NULL;NULL;Canada;No;Yes;Yes;No;Vegetative Barren;10 or fewer dwelling units per km;N/A;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-105;Release of Substance;7/25/2017;Taylor, BC;British Columbia;Westcoast Energy Inc., carrying on business as Spectra Energy Transmission;Closed;56.14630285;-120.6691693;11;Butane;Gas;No;2017;2017/07/21 05:00:00 PM Pacific;2017/07/21 05:00:00 PM Pacific;Substandard Conditions, Defective tools, equipment or materials;External Interference;Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Engineering and Planning;NULL;Processing;Operation;NULL;11/9/2017;Yes;No;Release of Substance;Butane;11;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;PPR;NULL;NULL;NULL;NULL;MCMAHON GAS PLANT (MCMAHON);NULL;56.14630285;-120.6691693;Canada;No;No;No;No;Developed Land - Industrial;More than 10 but fewer than 46 dwelling units per km;NULL;Level I;Standard Review;No;NULL;"Processing Plant, Storage;Processing Plant, Fractionation";NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-110;Release of Substance;7/27/2017;Town of Bethune;Saskatchewan;Enbridge Pipelines Inc.;Closed;50.62028;-105.24194;0.001;Natural Gas Liquids;Gas;No;2017;2017/07/26 10:00:00 PM Central;2017/07/26 10:00:00 PM Central;Substandard Conditions, Defective tools, equipment or materials;External Interference;Job or system factors, Excessive wear and tear, Improper extension of service life;Maintenance;No pipeline interruption;Transmission;Operation;SCADA;11/9/2017;Yes;No;Release of Substance;Natural Gas Liquids;0.001;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;Line 1;508.00000000, 864.00000000;1255.999121;Crude Oil;NULL;Meter;NULL;NULL;Canada;No;No;No;No;Developed Land - Industrial;10 or fewer dwelling units per km;652.95;Level I;Standard Review;No;NULL;Station/Facility, Pumping, Pump;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;Yes;NULL;NULL;No;No;NULL;Replacement;Yes
INC2017-111;Operation Beyond Design Limits;7/31/2017;Ficko, Ontario;Ontario;Trans-Northern Pipelines Inc.;Submitted;45.235319;-75.534506;Not Applicable;Not Applicable;Not Applicable;No;2017;NULL;2017/07/25 12:00:00 PM Eastern;"Damage or deterioration mechanism, Geotechnical Failure, Wash-out or Erosion;Damage or deterioration mechanism, Geotechnical Failure, Scouring";Natural Force Damage;"Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring";Engineering and Planning, Maintenance;No pipeline interruption;Transmission;Operation;Inspection Site Visit;NULL;Yes;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Exposure in a Waterbody;NULL;0;OPR;Ottawa Lateral;323.9;69.18015157;Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Water / Wetlands;10 or fewer dwelling units per km;NULL;Level I;Standard Review;No;INC2017-085;Pipeline, Pipe, Body;NULL;NPS 12;Carbon Steel;359 - X52;NULL;5.2 mm = 0.203 in;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Coal Tar Enamel Narrow;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-114;Release of Substance;8/10/2017;Redwater;Alberta;NOVA Gas Transmission Ltd.;Submitted;54.057238;-113.219046;17022;Natural Gas - Sweet;Gas;No;2017;NULL;2017/08/09 04:55:00 PM Mountain;Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Disbondments;Corrosion and Cracking;"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs";Engineering and Planning, Maintenance;Short-term interruption;Transmission;Operation;Scheduled Patrol;NULL;Yes;No;Release of Substance;Natural Gas - Sweet;17022;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;REDWATER LATERAL - NPS 10;273.1;145.4215609;Natural Gas;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Agricultural Cropland;10 or fewer dwelling units per km;N/A;Level I;Standard Review;No;OM2017-416;Pipeline, Pipe, Body;NULL;NPS 10;Carbon Steel;359 - X52;NULL;NULL;NULL;3.9;8322;NULL;4184;NULL;1.1;NULL;1974;NULL;NULL;NULL;Straight;Electric Resistance Welded;10 o'clock;External;Polyethylene Tape Wrap;Disbonded;Field Applied;NULL;No;Replacement;8/14/2017;No;8/9/2017;Visual;Yes;Yes;NULL;NULL;No
INC2017-115;Release of Substance;8/11/2017;Rosemary, AB;Alberta;NOVA Gas Transmission Ltd.;Initially Submitted;50.71329;-112.09327;1;Natural Gas - Sweet;Gas;No;2017;NULL;2017/08/10 03:55:00 PM Mountain;;To be determined;;To be determined;NULL;Transmission;Operation;Employee / Contractor (Onsite);NULL;No;No;Release of Substance;Natural Gas - Sweet;1;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;COUNTESS WEST LATERAL - NPS 4;114.3;5.92251494;Natural Gas;NULL;NULL;NULL;NULL;Canada;No;No;Yes;No;Agricultural Cropland;10 or fewer dwelling units per km;4.3;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-116;Serious Injury (NEB or TSB);8/15/2017;Chetwynd;British Columbia;Westcoast Energy Inc., carrying on business as Spectra Energy Transmission;Closed;55.749071;-122.2058;Not Applicable;Not Applicable;Not Applicable;Yes;2017;2017/08/14 05:30:00 PM Pacific;2017/08/14 05:30:00 PM Pacific;Substandard Acts, Failure to react or correct;Incorrect Operation;"Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training";Human Factors, Inadequate Supervision;No pipeline interruption;Transmission;Construction;Employee / Contractor (Onsite);1/5/2018;No;No;Serious Injury (NEB or TSB);NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;Hospitalization required;4;NULL;No;NULL;NULL;0;OPR;HIGH PINE EXPANSION;1067;32.30675088;Natural Gas Sweet;NULL;NULL;NULL;NULL;Canada;No;Yes;No;No;Forests;10 or fewer dwelling units per km;KM 4 on High Rise Road;Level II;Category B;Yes;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-117;Fire;8/16/2017;Taylor;British Columbia;Westcoast Energy Inc., carrying on business as Spectra Energy Transmission;Closed;56.1695;-120.6575;Not Applicable;Not Applicable;Not Applicable;No;2017;2017/08/15 02:00:00 PM Mountain;2017/08/15 02:00:00 PM Mountain;"Substandard Conditions, Weather Related, Temperature Extremes;Substandard Conditions, Fire and explosion hazards";External Interference;External Interference, Natural or Environmental Forces;Natural or Environmental Forces;No pipeline interruption;Transmission;Construction;Employee / Contractor (Onsite);11/10/2017;No;No;Fire;NULL;NULL;NULL;No;NULL;Welding or Cutting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;OPR;"16"" Boundary Lake Pipeline";406.4;49.55772514;Natural Gas, Natural Gas Sweet;NULL;NULL;NULL;NULL;Canada;No;No;No;No;Developed Land - Industrial;10 or fewer dwelling units per km;47;Level I;Standard Review;No;NULL;;NULL;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-120;Operation Beyond Design Limits;8/31/2017;Montreal East;Quebec;Trans-Northern Pipelines Inc.;Closed;45.630971;-73.531765;Not Applicable;Not Applicable;Not Applicable;No;2017;2015/02/02 02:17:00 PM Eastern;2017/08/30 12:00:00 PM Eastern;"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate information or data";External Interference;Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Engineering and Planning;No pipeline interruption;Transmission;Operation;SCADA;1/26/2018;Yes;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Over Pressure;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Developed Land - Industrial;10 or fewer dwelling units per km;NULL;Level I;Standard Review;No;INC2017-121, INC2017-122, INC2017-123, INC2017-124, INC2017-125, INC2017-126, INC2017-127, INC2017-128, INC2017-129, INC2017-135, INC2017-138, INC2017-139, INC2017-140, INC2017-141, INC2017-143, INC2017-144, INC2017-149, INC2017-150, INC2017-151, INC2017-157, INC2017-158;Pipeline, Pipe, Body;NULL;NPS 10;Carbon Steel;317 - X46;NULL;7.8 mm = 0.307 in;NULL;NULL;720;NULL;NULL;NULL;NULL;NULL;1952;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-121;Operation Beyond Design Limits;8/31/2017;Montreal East;Quebec;Trans-Northern Pipelines Inc.;Closed;45.630971;-73.531765;Not Applicable;Not Applicable;Not Applicable;No;2017;2015/02/17 10:27:00 PM Eastern;2017/08/30 12:00:00 PM Eastern;"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate information or data";External Interference;Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Engineering and Planning;No pipeline interruption;Transmission;Operation;SCADA;1/26/2018;Yes;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Over Pressure;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Developed Land - Industrial;10 or fewer dwelling units per km;NULL;Level I;Standard Review;No;INC2017-120;Pipeline, Pipe, Body;NULL;NPS 10;Carbon Steel;317 - X46;NULL;7.8 mm = 0.307 in;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1952;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
INC2017-122;Operation Beyond Design Limits;8/31/2017;Montreal East;Quebec;Trans-Northern Pipelines Inc.;Closed;45.630971;-73.531765;Not Applicable;Not Applicable;Not Applicable;No;2017;2015/02/09 12:41:00 AM Eastern;2017/08/30 12:00:00 PM Eastern;"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate information or data";External Interference;Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Engineering and Planning;No pipeline interruption;Transmission;Operation;SCADA;1/26/2018;Yes;No;Operation Beyond Design Limits;NULL;NULL;NULL;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Over Pressure;NULL;0;OPR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Canada;Yes;No;No;No;Developed Land - Industrial;10 or fewer dwelling units per km;NULL;Level I;Standard Review;No;INC2017-120;Pipeline, Pipe, Body;NULL;NPS 10;Carbon Steel;317 - X46;NULL;7.8 mm = 0.307 in;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1952;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;No;NULL;NULL;No;NULL;NULL;No;No;NULL;NULL;No
